"movieId","title","genres"
1,"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy"
2,"Jumanji (1995)","Adventure|Children|Fantasy"
3,"Grumpier Old Men (1995)","Comedy|Romance"
4,"Waiting to Exhale (1995)","Comedy|Drama|Romance"
5,"Father of the Bride Part II (1995)","Comedy"
6,"Heat (1995)","Action|Crime|Thriller"
7,"Sabrina (1995)","Comedy|Romance"
9,"Sudden Death (1995)","Action"
10,"GoldenEye (1995)","Action|Adventure|Thriller"
11,"American President, The (1995)","Comedy|Drama|Romance"
12,"Dracula: Dead and Loving It (1995)","Comedy|Horror"
13,"Balto (1995)","Adventure|Animation|Children"
14,"Nixon (1995)","Drama"
15,"Cutthroat Island (1995)","Action|Adventure|Romance"
16,"Casino (1995)","Crime|Drama"
17,"Sense and Sensibility (1995)","Drama|Romance"
18,"Four Rooms (1995)","Comedy"
19,"Ace Ventura: When Nature Calls (1995)","Comedy"
20,"Money Train (1995)","Action|Comedy|Crime|Drama|Thriller"
21,"Get Shorty (1995)","Comedy|Crime|Thriller"
22,"Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller"
23,"Assassins (1995)","Action|Crime|Thriller"
24,"Powder (1995)","Drama|Sci-Fi"
25,"Leaving Las Vegas (1995)","Drama|Romance"
26,"Othello (1995)","Drama"
27,"Now and Then (1995)","Children|Drama"
28,"Persuasion (1995)","Drama|Romance"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure|Drama|Fantasy|Mystery|Sci-Fi"
31,"Dangerous Minds (1995)","Drama"
32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)","Mystery|Sci-Fi|Thriller"
34,"Babe (1995)","Children|Drama"
35,"Carrington (1995)","Drama|Romance"
36,"Dead Man Walking (1995)","Crime|Drama"
39,"Clueless (1995)","Comedy|Romance"
41,"Richard III (1995)","Drama|War"
42,"Dead Presidents (1995)","Action|Crime|Drama"
43,"Restoration (1995)","Drama"
44,"Mortal Kombat (1995)","Action|Adventure|Fantasy"
45,"To Die For (1995)","Comedy|Drama|Thriller"
46,"How to Make an American Quilt (1995)","Drama|Romance"
47,"Seven (a.k.a. Se7en) (1995)","Mystery|Thriller"
48,"Pocahontas (1995)","Animation|Children|Drama|Musical|Romance"
50,"Usual Suspects, The (1995)","Crime|Mystery|Thriller"
52,"Mighty Aphrodite (1995)","Comedy|Drama|Romance"
57,"Home for the Holidays (1995)","Drama"
58,"Postman, The (Postino, Il) (1994)","Comedy|Drama|Romance"
60,"Indian in the Cupboard, The (1995)","Adventure|Children|Fantasy"
61,"Eye for an Eye (1996)","Drama|Thriller"
62,"Mr. Holland's Opus (1995)","Drama"
63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)","Comedy|Crime"
64,"Two if by Sea (1996)","Comedy|Romance"
65,"Bio-Dome (1996)","Comedy"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)","Action|Sci-Fi|Thriller"
69,"Friday (1995)","Comedy"
70,"From Dusk Till Dawn (1996)","Action|Comedy|Horror|Thriller"
73,"Misérables, Les (1995)","Drama|War"
74,"Bed of Roses (1996)","Drama|Romance"
76,"Screamers (1995)","Action|Sci-Fi|Thriller"
79,"Juror, The (1996)","Drama|Thriller"
81,"Things to Do in Denver When You're Dead (1995)","Crime|Drama|Romance"
82,"Antonia's Line (Antonia) (1995)","Comedy|Drama"
85,"Angels and Insects (1995)","Drama|Romance"
86,"White Squall (1996)","Action|Adventure|Drama"
88,"Black Sheep (1996)","Comedy"
89,"Nick of Time (1995)","Action|Thriller"
92,"Mary Reilly (1996)","Drama|Horror|Thriller"
93,"Vampire in Brooklyn (1995)","Comedy|Horror|Romance"
94,"Beautiful Girls (1996)","Comedy|Drama|Romance"
95,"Broken Arrow (1996)","Action|Adventure|Thriller"
97,"Hate (Haine, La) (1995)","Crime|Drama"
100,"City Hall (1996)","Drama|Thriller"
101,"Bottle Rocket (1996)","Adventure|Comedy|Crime|Romance"
102,"Mr. Wrong (1996)","Comedy"
104,"Happy Gilmore (1996)","Comedy"
105,"Bridges of Madison County, The (1995)","Drama|Romance"
107,"Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical"
110,"Braveheart (1995)","Action|Drama|War"
111,"Taxi Driver (1976)","Crime|Drama|Thriller"
112,"Rumble in the Bronx (Hont faan kui) (1995)","Action|Adventure|Comedy|Crime"
122,"Boomerang (1992)","Comedy|Romance"
123,"Chungking Express (Chung Hing sam lam) (1994)","Drama|Mystery|Romance"
125,"Flirting With Disaster (1996)","Comedy"
132,"Jade (1995)","Thriller"
135,"Down Periscope (1996)","Comedy"
140,"Up Close and Personal (1996)","Drama|Romance"
141,"Birdcage, The (1996)","Comedy"
144,"Brothers McMullen, The (1995)","Comedy"
145,"Bad Boys (1995)","Action|Comedy|Crime|Drama|Thriller"
147,"Basketball Diaries, The (1995)","Drama"
150,"Apollo 13 (1995)","Adventure|Drama|IMAX"
151,"Rob Roy (1995)","Action|Drama|Romance|War"
153,"Batman Forever (1995)","Action|Adventure|Comedy|Crime"
154,"Beauty of the Day (Belle de jour) (1967)","Drama"
156,"Blue in the Face (1995)","Comedy|Drama"
157,"Canadian Bacon (1995)","Comedy|War"
158,"Casper (1995)","Adventure|Children"
159,"Clockers (1995)","Crime|Drama|Mystery"
160,"Congo (1995)","Action|Adventure|Mystery|Sci-Fi"
161,"Crimson Tide (1995)","Drama|Thriller|War"
162,"Crumb (1994)","Documentary"
163,"Desperado (1995)","Action|Romance|Western"
164,"Devil in a Blue Dress (1995)","Crime|Film-Noir|Mystery|Thriller"
165,"Die Hard: With a Vengeance (1995)","Action|Crime|Thriller"
168,"First Knight (1995)","Action|Drama|Romance"
169,"Free Willy 2: The Adventure Home (1995)","Adventure|Children|Drama"
170,"Hackers (1995)","Action|Adventure|Crime|Thriller"
172,"Johnny Mnemonic (1995)","Action|Sci-Fi|Thriller"
173,"Judge Dredd (1995)","Action|Crime|Sci-Fi"
174,"Jury Duty (1995)","Comedy"
175,"Kids (1995)","Drama"
176,"Living in Oblivion (1995)","Comedy"
177,"Lord of Illusions (1995)","Horror"
180,"Mallrats (1995)","Comedy|Romance"
181,"Mighty Morphin Power Rangers: The Movie (1995)","Action|Children"
185,"Net, The (1995)","Action|Crime|Thriller"
186,"Nine Months (1995)","Comedy|Romance"
188,"Prophecy, The (1995)","Fantasy|Horror|Mystery"
191,"Scarlet Letter, The (1995)","Drama|Romance"
193,"Showgirls (1995)","Drama"
194,"Smoke (1995)","Comedy|Drama"
195,"Something to Talk About (1995)","Comedy|Drama|Romance"
196,"Species (1995)","Horror|Sci-Fi"
198,"Strange Days (1995)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller"
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Drama|Musical|Romance"
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Comedy"
204,"Under Siege 2: Dark Territory (1995)","Action"
207,"Walk in the Clouds, A (1995)","Drama|Romance"
208,"Waterworld (1995)","Action|Adventure|Sci-Fi"
213,"Burnt by the Sun (Utomlyonnye solntsem) (1994)","Drama"
215,"Before Sunrise (1995)","Drama|Romance"
216,"Billy Madison (1995)","Comedy"
218,"Boys on the Side (1995)","Comedy|Drama"
222,"Circle of Friends (1995)","Drama|Romance"
223,"Clerks (1994)","Comedy"
224,"Don Juan DeMarco (1995)","Comedy|Drama|Romance"
225,"Disclosure (1994)","Drama|Thriller"
227,"Drop Zone (1994)","Action|Thriller"
229,"Death and the Maiden (1994)","Drama|Thriller"
230,"Dolores Claiborne (1995)","Drama|Thriller"
231,"Dumb & Dumber (Dumb and Dumber) (1994)","Adventure|Comedy"
232,"Eat Drink Man Woman (Yin shi nan nu) (1994)","Comedy|Drama|Romance"
233,"Exotica (1994)","Drama"
234,"Exit to Eden (1994)","Comedy"
235,"Ed Wood (1994)","Comedy|Drama"
236,"French Kiss (1995)","Action|Comedy|Romance"
237,"Forget Paris (1995)","Comedy|Romance"
239,"Goofy Movie, A (1995)","Animation|Children|Comedy|Romance"
246,"Hoop Dreams (1994)","Documentary"
247,"Heavenly Creatures (1994)","Crime|Drama"
248,"Houseguest (1994)","Comedy"
249,"Immortal Beloved (1994)","Drama|Romance"
252,"I.Q. (1994)","Comedy|Romance"
253,"Interview with the Vampire: The Vampire Chronicles (1994)","Drama|Horror"
256,"Junior (1994)","Comedy|Sci-Fi"
257,"Just Cause (1995)","Mystery|Thriller"
258,"Kid in King Arthur's Court, A (1995)","Adventure|Children|Comedy|Fantasy|Romance"
259,"Kiss of Death (1995)","Crime|Drama|Thriller"
260,"Star Wars: Episode IV - A New Hope (1977)","Action|Adventure|Sci-Fi"
261,"Little Women (1994)","Drama"
262,"Little Princess, A (1995)","Children|Drama"
265,"Like Water for Chocolate (Como agua para chocolate) (1992)","Drama|Fantasy|Romance"
266,"Legends of the Fall (1994)","Drama|Romance|War|Western"
267,"Major Payne (1995)","Comedy"
272,"Madness of King George, The (1994)","Comedy|Drama"
273,"Mary Shelley's Frankenstein (Frankenstein) (1994)","Drama|Horror|Sci-Fi"
275,"Mixed Nuts (1994)","Comedy"
276,"Milk Money (1994)","Comedy|Romance"
277,"Miracle on 34th Street (1994)","Drama"
280,"Murder in the First (1995)","Drama|Thriller"
281,"Nobody's Fool (1994)","Comedy|Drama|Romance"
282,"Nell (1994)","Drama"
288,"Natural Born Killers (1994)","Action|Crime|Thriller"
289,"Only You (1994)","Comedy|Romance"
290,"Once Were Warriors (1994)","Crime|Drama"
292,"Outbreak (1995)","Action|Drama|Sci-Fi|Thriller"
293,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)","Action|Crime|Drama|Thriller"
296,"Pulp Fiction (1994)","Comedy|Crime|Drama|Thriller"
299,"Priest (1994)","Drama"
300,"Quiz Show (1994)","Drama"
302,"Queen Margot (Reine Margot, La) (1994)","Drama|Romance"
303,"Quick and the Dead, The (1995)","Action|Thriller|Western"
305,"Ready to Wear (Pret-A-Porter) (1994)","Comedy"
306,"Three Colors: Red (Trois couleurs: Rouge) (1994)","Drama"
307,"Three Colors: Blue (Trois couleurs: Bleu) (1993)","Drama"
308,"Three Colors: White (Trzy kolory: Bialy) (1994)","Comedy|Drama"
314,"Secret of Roan Inish, The (1994)","Children|Drama|Fantasy|Mystery"
315,"Specialist, The (1994)","Action|Drama|Thriller"
316,"Stargate (1994)","Action|Adventure|Sci-Fi"
317,"Santa Clause, The (1994)","Comedy|Drama|Fantasy"
318,"Shawshank Redemption, The (1994)","Crime|Drama"
319,"Shallow Grave (1994)","Comedy|Drama|Thriller"
322,"Swimming with Sharks (1995)","Comedy|Drama"
327,"Tank Girl (1995)","Action|Comedy|Sci-Fi"
328,"Tales from the Crypt Presents: Demon Knight (1995)","Horror|Thriller"
329,"Star Trek: Generations (1994)","Adventure|Drama|Sci-Fi"
330,"Tales from the Hood (1995)","Action|Crime|Horror"
332,"Village of the Damned (1995)","Horror|Sci-Fi"
333,"Tommy Boy (1995)","Comedy"
334,"Vanya on 42nd Street (1994)","Drama"
337,"What's Eating Gilbert Grape (1993)","Drama"
338,"Virtuosity (1995)","Action|Sci-Fi|Thriller"
339,"While You Were Sleeping (1995)","Comedy|Romance"
340,"War, The (1994)","Adventure|Drama|War"
342,"Muriel's Wedding (1994)","Comedy"
344,"Ace Ventura: Pet Detective (1994)","Comedy"
345,"Adventures of Priscilla, Queen of the Desert, The (1994)","Comedy|Drama"
347,"Bitter Moon (1992)","Drama|Film-Noir|Romance"
348,"Bullets Over Broadway (1994)","Comedy"
349,"Clear and Present Danger (1994)","Action|Crime|Drama|Thriller"
350,"Client, The (1994)","Drama|Mystery|Thriller"
351,"Corrina, Corrina (1994)","Comedy|Drama|Romance"
353,"Crow, The (1994)","Action|Crime|Fantasy|Thriller"
355,"Flintstones, The (1994)","Children|Comedy|Fantasy"
356,"Forrest Gump (1994)","Comedy|Drama|Romance|War"
357,"Four Weddings and a Funeral (1994)","Comedy|Romance"
358,"Higher Learning (1995)","Drama"
360,"I Love Trouble (1994)","Action|Comedy"
361,"It Could Happen to You (1994)","Comedy|Drama|Romance"
362,"Jungle Book, The (1994)","Adventure|Children|Romance"
364,"Lion King, The (1994)","Adventure|Animation|Children|Drama|Musical|IMAX"
365,"Little Buddha (1993)","Drama"
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)","Drama|Horror|Mystery|Thriller"
367,"Mask, The (1994)","Action|Comedy|Crime|Fantasy"
368,"Maverick (1994)","Adventure|Comedy|Western"
370,"Naked Gun 33 1/3: The Final Insult (1994)","Action|Comedy"
371,"Paper, The (1994)","Comedy|Drama"
372,"Reality Bites (1994)","Comedy|Drama|Romance"
373,"Red Rock West (1992)","Thriller"
374,"Richie Rich (1994)","Children|Comedy"
376,"River Wild, The (1994)","Action|Thriller"
377,"Speed (1994)","Action|Romance|Thriller"
378,"Speechless (1994)","Comedy|Romance"
379,"Timecop (1994)","Action|Sci-Fi|Thriller"
380,"True Lies (1994)","Action|Adventure|Comedy|Romance|Thriller"
381,"When a Man Loves a Woman (1994)","Drama|Romance"
382,"Wolf (1994)","Drama|Horror|Romance|Thriller"
383,"Wyatt Earp (1994)","Western"
393,"Street Fighter (1994)","Action|Adventure|Fantasy"
405,"Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)","Action|Fantasy"
407,"In the Mouth of Madness (1995)","Horror|Thriller"
410,"Addams Family Values (1993)","Children|Comedy|Fantasy"
412,"Age of Innocence, The (1993)","Drama"
413,"Airheads (1994)","Comedy"
415,"Another Stakeout (1993)","Comedy|Thriller"
416,"Bad Girls (1994)","Western"
417,"Barcelona (1994)","Comedy|Romance"
